organism	tissue	count
Pan troglodytes	primary auditory cortex	0
Pan troglodytes	primary motor cortex	0
Pan troglodytes	primary somatosensory cortex	0
Pan troglodytes	primary visual cortex	0
Pan troglodytes	secondary visual cortex	0
Pan troglodytes	superior parietal cortex	0
Pan troglodytes	superior temporal sulcus	0
Pan troglodytes	temporal cortex	0
Pan troglodytes	temporal lobe	0
Pan troglodytes	ventral lateral nucleus of thalamus	0
Sus scrofa	Brodmann (1909) area 19	0
Sus scrofa	Brodmann (1909) area 23	0
Sus scrofa	Brodmann (1909) area 25	0
Sus scrofa	amygdala	0
Sus scrofa	anterior cingulate cortex	0
Sus scrofa	cerebellar vermis	0
Sus scrofa	cerebrocerebellum	0
Sus scrofa	corpus callosum	0
Sus scrofa	dorsolateral prefrontal cortex	0
Sus scrofa	entorhinal cortex	0
Sus scrofa	head of caudate nucleus	0
Sus scrofa	hippocampal formation	0
Sus scrofa	inferior parietal cortex	0
Sus scrofa	inferior temporal gyrus	0
Sus scrofa	islet of Langerhans	22056
Sus scrofa	lateral geniculate body	0
Sus scrofa	medial dorsal nucleus of thalamus	0
Sus scrofa	medulla oblongata	0
Sus scrofa	midbrain	0
Sus scrofa	middle temporal gyrus	0
Sus scrofa	nucleus accumbens	0
Sus scrofa	parietal cortex	0
Sus scrofa	perirhinal cortex	0
Sus scrofa	pons	0
Sus scrofa	prefrontal cortex	0
Sus scrofa	primary auditory cortex	0
Sus scrofa	primary motor cortex	0
Sus scrofa	primary somatosensory cortex	0
Sus scrofa	primary visual cortex	0
Sus scrofa	secondary visual cortex	0
Sus scrofa	superior parietal cortex	0
Sus scrofa	superior temporal sulcus	0
Sus scrofa	temporal cortex	0
Sus scrofa	temporal lobe	0
Sus scrofa	ventral lateral nucleus of thalamus	0
